iso3c,country,income_group,adult_literacy,ctrl_corrup,edu_spend_gdp,gdp_pc_ppp,gini,gov_effect,gpi_sec,gpi_tert,inc_share_low20,pop_total,poverty_215,sec_completion,sec_enrol_gross,tert_enrol_gross,voice_account,work_age_share,youth_literacy,indicators_observed,overall_coverage
NLD,Netherlands,High income,0.0,0.9,0.8,1.0,0.7,0.9,0.9,0.9,0.7,1.0,0.7,0.0,0.9,0.7,0.9,1.0,0.0,14,0.7058823529411766
SYC,Seychelles,High income,0.0,0.9,0.9,1.0,0.1,0.9,1.0,1.0,0.1,1.0,0.1,1.0,1.0,1.0,0.9,1.0,0.0,15,0.7000000000000001
SGP,Singapore,High income,0.7,0.9,1.0,1.0,0.0,0.9,0.6,0.8,0.0,1.0,0.0,0.8,0.8,0.8,0.9,1.0,0.7,14,0.7000000000000001
OMN,Oman,High income,0.5,0.9,0.5,1.0,0.0,0.9,0.9,0.9,0.0,1.0,0.0,1.0,0.9,0.8,0.9,1.0,0.5,14,0.6882352941176472
AND,Andorra,High income,0.0,0.9,0.9,1.0,0.0,0.9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9,1.0,0.0,12,0.6823529411764707
BHR,Bahrain,High income,0.3,0.9,0.9,1.0,0.0,0.9,0.6,1.0,0.0,1.0,0.0,0.9,0.8,1.0,0.9,1.0,0.3,14,0.6764705882352943
JPN,Japan,High income,0.0,0.9,0.7,1.0,0.6,0.9,0.5,0.9,0.6,1.0,0.6,0.0,0.9,0.9,0.9,1.0,0.0,14,0.6705882352941177
AUS,Australia,High income,0.0,0.9,0.3,1.0,0.3,0.9,1.0,1.0,0.3,1.0,0.3,0.0,1.0,1.0,0.9,1.0,0.0,14,0.6411764705882353
KWT,Kuwait,High income,0.4,0.9,0.9,1.0,0.0,0.9,0.7,0.7,0.0,1.0,0.0,0.7,0.7,0.7,0.9,1.0,0.4,14,0.6411764705882353
SAU,Saudi Arabia,High income,0.3,0.9,0.1,1.0,0.0,0.9,0.9,0.9,0.0,1.0,0.0,0.9,0.9,0.9,0.9,1.0,0.3,14,0.6411764705882353
NZL,New Zealand,High income,0.0,0.9,0.9,1.0,0.0,0.9,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9,1.0,0.0,11,0.623529411764706
ARE,United Arab Emirates,High income,0.5,0.9,0.3,1.0,0.1,0.9,0.5,0.7,0.1,1.0,0.1,0.6,0.7,0.7,0.9,1.0,0.5,17,0.6176470588235294
BRN,Brunei Darussalam,High income,0.0,0.9,0.1,1.0,0.0,0.9,0.6,0.9,0.0,1.0,0.0,1.0,1.0,0.9,0.9,1.0,0.0,12,0.6000000000000001
SMR,San Marino,High income,0.1,0.9,0.8,0.9,0.0,0.9,0.7,0.7,0.0,1.0,0.0,0.7,0.7,0.7,0.9,1.0,0.1,14,0.5941176470588236
KNA,St. Kitts and Nevis,High income,0.0,0.9,0.9,1.0,0.0,0.9,0.3,0.9,0.0,1.0,0.0,0.9,0.9,0.1,0.9,1.0,0.0,12,0.5705882352941177
BHS,"Bahamas, The",High income,0.0,0.9,0.9,1.0,0.0,0.9,0.6,0.8,0.0,1.0,0.0,0.8,0.8,0.0,0.9,1.0,0.0,11,0.5647058823529413
NRU,Nauru,High income,0.2,0.9,0.9,1.0,0.0,0.9,0.5,0.6,0.0,1.0,0.0,0.6,0.6,0.0,0.9,1.0,0.1,13,0.5411764705882354
MAC,"Macao SAR, China",High income,0.1,0.0,0.9,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,11,0.5352941176470589
ATG,Antigua and Barbuda,High income,0.0,0.9,0.9,1.0,0.0,0.9,0.3,0.5,0.0,1.0,0.0,0.6,0.7,0.0,0.9,1.0,0.0,11,0.511764705882353
PLW,Palau,High income,0.2,0.9,0.4,0.9,0.0,0.9,0.3,0.5,0.0,1.0,0.0,0.4,0.5,0.3,0.9,1.0,0.2,14,0.49411764705882355
LIE,Liechtenstein,High income,0.0,0.9,0.0,0.0,0.0,0.9,0.7,0.7,0.0,1.0,0.0,0.6,0.7,0.7,0.9,1.0,0.0,10,0.4764705882352942
TCA,Turks and Caicos Islands,High income,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.7,1.0,0.7,0.0,1.0,0.1,10,0.47058823529411764
GUY,Guyana,High income,0.1,0.9,0.4,1.0,0.0,0.9,0.3,0.4,0.0,1.0,0.0,0.2,0.4,0.2,0.9,1.0,0.1,14,0.45882352941176474
