iso3c,country,income_group,adult_literacy,ctrl_corrup,edu_spend_gdp,gdp_pc_ppp,gini,gov_effect,gpi_sec,gpi_tert,inc_share_low20,pop_total,poverty_215,sec_completion,sec_enrol_gross,tert_enrol_gross,voice_account,work_age_share,youth_literacy,indicators_observed,overall_coverage
TTO,Trinidad and Tobago,High income,0.0,0.9,0.9,1.0,0.0,0.9,0.2,0.2,0.0,1.0,0.0,0.4,0.2,0.1,0.9,1.0,0.1,13,0.45882352941176474
PRI,Puerto Rico (US),High income,0.1,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.4,0.5,0.9,0.0,1.0,0.1,11,0.4411764705882353
MCO,Monaco,High income,0.0,0.9,0.6,0.0,0.0,0.9,0.0,0.2,0.0,1.0,0.0,0.7,0.2,0.2,0.9,1.0,0.0,10,0.38823529411764707
CYM,Cayman Islands,High income,0.1,0.0,0.6,0.9,0.0,0.0,0.7,0.7,0.0,1.0,0.0,0.7,0.7,0.0,0.0,1.0,0.1,10,0.38235294117647056
ASM,American Samoa,High income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,
ABW,Aruba,High income,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.5,0.6,0.3,0.0,1.0,0.0,8,
BMU,Bermuda,High income,0.0,0.0,0.9,1.0,0.0,0.0,0.1,0.4,0.0,1.0,0.0,0.2,0.2,0.4,0.0,1.0,0.0,9,
VGB,British Virgin Islands,High income,0.0,0.0,0.9,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9,0.0,1.0,0.0,8,
CHI,Channel Islands,High income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,
CUW,Curacao,High income,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.3,0.0,1.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,7,
