iso3c,country,income_group,year,gini,inc_share_low20,poverty_215,sec_enrol_gross,tert_enrol_gross,sec_completion,adult_literacy,youth_literacy,gpi_sec,gpi_tert,edu_spend_gdp,gdp_pc_ppp,pop_total,work_age_share,gov_effect,voice_account,ctrl_corrup
ESP,Spain,High income,2022,33.6,6.6,0.8,97.96617126464844,95.0271606445312,100.0,,,0.9979400038719176,0.993149995803833,4.58553981781006,46733.4809780536,47786102.0,66.2160904145149,0.920230388641357,1.01683568954468,0.685416162014008
ESP,Spain,High income,2023,33.4,6.5,0.8,98.0022201538086,93.7303466796875,100.0,,,0.9972000122070312,0.9911900162696838,,47322.5937004504,48352528.0,66.0876417150889,0.752065539360046,1.19472968578339,0.629368722438812
ESP,Spain,High income,2024,41.1,5.393103448275863,1.0586206896551724,98.21482849121094,93.7689666748047,93.4016571044922,,,0.9980199933052064,0.9912400245666504,,48460.2914069661,48848840.0,65.9328112372132,,,
URY,Uruguay,High income,2015,40.1,5.6,0.2,98.49512176185917,57.7897211461691,100.0,98.5199966430664,98.93000030517578,1.012231073099213,,4.20636987686157,28941.6294107011,3368017.0,64.2445391457347,0.454686135053635,1.14334154129028,1.3004002571106
URY,Uruguay,High income,2016,39.7,5.7,0.1,96.29028457732282,59.6462945758069,100.0,98.55999755859376,99.15000152587892,1.013403057958335,,4.36420011520386,29332.5672615246,3379283.0,64.3219434418485,0.504967212677002,1.16300630569458,1.24705672264099
URY,Uruguay,High income,2017,39.5,5.9,0.1,97.85994286093948,59.7518904286933,100.0,98.62000274658205,98.93000030517578,1.006558359553547,1.018530011177063,4.41787004470825,29762.4333171685,3388438.0,64.4238089089735,0.404940634965897,1.1673538684845,1.25341796875
URY,Uruguay,High income,2018,39.7,5.9,0.1,100.0,60.2781342968002,100.0,98.6999969482422,98.87999725341795,1.11073994636536,1.016039967536926,4.60361003875732,29757.9388543783,3394534.0,64.5510989137242,0.504864871501923,1.19108092784882,1.20765292644501
URY,Uruguay,High income,2019,39.7,5.8,0.1,98.79082265398924,61.9644279466795,100.0,98.7699966430664,99.0199966430664,1.01441960033033,1.014201020187044,4.62834978103638,30010.5742615797,3397206.0,64.6984116798351,0.643020868301392,1.22502756118774,1.19539678096771
URY,Uruguay,High income,2020,40.2,5.7,0.3,97.83365362944032,64.9332150107214,100.0,98.9596198051761,99.0304333878448,1.021316979736617,1.007459380835525,4.55217981338501,27788.1854968153,3398968.0,64.866512423771,0.730210959911346,1.30677044391632,1.36466670036316
URY,Uruguay,High income,2021,40.8,5.7,0.2,99.37039184570312,75.1713873701582,100.0,98.9048091396486,99.2,1.021488148571735,1.041523276688496,4.46211004257202,29431.8850087471,3396695.0,65.0844077970509,0.799662232398987,1.28641426563263,1.58596456050873
URY,Uruguay,High income,2022,40.6,5.6,0.2,97.8953255413891,76.3977408357972,100.0,98.84999847412108,99.12999725341795,1.021659317406853,1.041821729265189,4.4795298576355,30804.7032775797,3390913.0,65.3197383713472,0.849587678909302,1.28492343425751,1.61050200462341
URY,Uruguay,High income,2023,40.9,5.6,0.2,98.5046596001992,79.9536903496537,100.0,98.8254937778285,99.0,1.003285838078498,1.002944291369118,4.76461982727051,31059.2537072459,3388081.0,65.5017789571411,0.850249707698822,1.28379380702972,1.57394731044769
URY,Uruguay,High income,2024,40.0,5.7,0.2,,,,98.91000366210938,99.0199966430664,,,,32038.7727288227,3386588.0,65.6618351068738,,,
GEO,Georgia,Upper middle income,2015,36.5,6.7,10.6,97.37989575475594,51.9050659422441,100.0,,,1.02771997451782,0.943927929389184,3.10870368877345,14936.8434116647,3725276.0,66.4359840145481,0.263111501932144,0.274659216403961,0.700735151767731
GEO,Georgia,Upper middle income,2016,36.6,6.7,10.5,97.48642677196248,58.1988080034057,100.0,,,1.01774001121521,0.943544868019606,3.52338004112244,15442.9564358054,3727505.0,65.8971898365452,0.420896291732788,0.295699268579483,0.713530719280243
GEO,Georgia,Upper middle income,2017,37.9,6.3,11.1,97.32528119349404,63.535040959252,100.0,99.36000061035156,99.63999938964844,1.01057004928589,0.9455159620924588,3.52442002296448,16237.6242230275,3728004.0,65.3998342675011,0.481504321098328,0.265135079622269,0.759495615959167
GEO,Georgia,Upper middle income,2018,36.4,6.5,11.0,97.4628959914925,66.747813990461,100.0,99.65000152587892,99.91999816894533,1.01428997516632,0.9478206781424124,3.46094989776611,17228.6790847503,3726549.0,64.9358595812196,0.518133521080017,0.229046493768692,0.724816799163818
